name,district,state,description,focus_areas,lat,lon,capability_score
NGO_22,Eluru,Andhra Pradesh,"NGO working on immunization programs, community midwife training across rural and semi-urban communities.","Immunization Programs, Community Midwife Training",15.569251,78.038702,100.0
NGO_23,Hyderabad,Telangana,"NGO working on high-risk pregnancy support, maternal health across rural and semi-urban communities.","High-Risk Pregnancy Support, Maternal Health",16.180726,78.365633,99.0
NGO_24,Visakhapatnam,Andhra Pradesh,"NGO working on rural health outreach, maternal health across rural and semi-urban communities.","Rural Health Outreach, Maternal Health",16.361767,78.853176,100.0
NGO_25,Hyderabad,Telangana,"NGO working on community midwife training, high-risk pregnancy support across rural and semi-urban communities.","Community Midwife Training, High-Risk Pregnancy Support",18.040177,78.6381,100.0
NGO_26,Visakhapatnam,Andhra Pradesh,"NGO working on high-risk pregnancy support, rural health outreach across rural and semi-urban communities.","High-Risk Pregnancy Support, Rural Health Outreach",18.443933,81.425728,100.0
NGO_27,Hyderabad,Telangana,"NGO working on neonatal care, maternal health across rural and semi-urban communities.","Neonatal Care, Maternal Health",18.068572,81.295691,100.0
NGO_28,Visakhapatnam,Andhra Pradesh,"NGO working on immunization programs, neonatal care across rural and semi-urban communities.","Immunization Programs, Neonatal Care",16.474003,81.919093,100.0
NGO_29,Nizamabad,Telangana,"NGO working on rural health outreach, breastfeeding & nutrition across rural and semi-urban communities.","Rural Health Outreach, Breastfeeding & Nutrition",15.466585,81.211411,0.0
NGO_30,Visakhapatnam,Andhra Pradesh,"NGO working on telemedicine services, high-risk pregnancy support across rural and semi-urban communities.","Telemedicine Services, High-Risk Pregnancy Support",15.461036,81.472887,99.0
NGO_31,Khammam,Telangana,"NGO working on rural health outreach, neonatal care across rural and semi-urban communities.","Rural Health Outreach, Neonatal Care",17.826594,79.427035,100.0
NGO_32,Eluru,Andhra Pradesh,"NGO working on community midwife training, rural health outreach across rural and semi-urban communities.","Community Midwife Training, Rural Health Outreach",17.913991,81.564312,100.0
NGO_33,Hyderabad,Telangana,"NGO working on maternal health, community midwife training across rural and semi-urban communities.","Maternal Health, Community Midwife Training",15.257223,78.842356,100.0
NGO_34,Nellore,Andhra Pradesh,"NGO working on maternal health, breastfeeding & nutrition across rural and semi-urban communities.","Maternal Health, Breastfeeding & Nutrition",16.645317,78.012719,100.0
NGO_35,Khammam,Telangana,"NGO working on high-risk pregnancy support, community midwife training across rural and semi-urban communities.","High-Risk Pregnancy Support, Community Midwife Training",18.466254,81.700882,100.0
NGO_36,Guntur,Andhra Pradesh,"NGO working on high-risk pregnancy support, rural health outreach across rural and semi-urban communities.","High-Risk Pregnancy Support, Rural Health Outreach",15.079161,80.420748,100.0
NGO_37,Karimnagar,Telangana,"NGO working on breastfeeding & nutrition, telemedicine services across rural and semi-urban communities.","Breastfeeding & Nutrition, Telemedicine Services",16.673976,81.137188,0.0
NGO_38,Kurnool,Andhra Pradesh,"NGO working on immunization programs, rural health outreach across rural and semi-urban communities.","Immunization Programs, Rural Health Outreach",18.393626,80.765727,0.0
NGO_39,Warangal,Telangana,"NGO working on community midwife training, maternal health across rural and semi-urban communities.","Community Midwife Training, Maternal Health",16.894316,79.598242,100.0
NGO_40,Visakhapatnam,Andhra Pradesh,"NGO working on telemedicine services, breastfeeding & nutrition across rural and semi-urban communities.","Telemedicine Services, Breastfeeding & Nutrition",16.036411,78.241947,0.0
NGO_41,Warangal,Telangana,"NGO working on high-risk pregnancy support, rural health outreach across rural and semi-urban communities.","High-Risk Pregnancy Support, Rural Health Outreach",16.706926,80.506771,100.0
NGO_42,Nellore,Andhra Pradesh,"NGO working on immunization programs, neonatal care across rural and semi-urban communities.","Immunization Programs, Neonatal Care",18.108209,78.977448,100.0
NGO_43,Nizamabad,Telangana,"NGO working on maternal health, telemedicine services across rural and semi-urban communities.","Maternal Health, Telemedicine Services",16.113075,80.792232,99.0
NGO_44,Nellore,Andhra Pradesh,"NGO working on breastfeeding & nutrition, high-risk pregnancy support across rural and semi-urban communities.","Breastfeeding & Nutrition, High-Risk Pregnancy Support",18.155398,80.894602,100.0
NGO_45,Hyderabad,Telangana,"NGO working on rural health outreach, high-risk pregnancy support across rural and semi-urban communities.","Rural Health Outreach, High-Risk Pregnancy Support",15.588984,78.490821,100.0
NGO_46,Kurnool,Andhra Pradesh,"NGO working on maternal health, high-risk pregnancy support across rural and semi-urban communities.","Maternal Health, High-Risk Pregnancy Support",18.257314,81.565689,100.0
NGO_47,Khammam,Telangana,"NGO working on neonatal care, high-risk pregnancy support across rural and semi-urban communities.","Neonatal Care, High-Risk Pregnancy Support",18.424177,80.281651,100.0
NGO_48,Eluru,Andhra Pradesh,"NGO working on maternal health, telemedicine services across rural and semi-urban communities.","Maternal Health, Telemedicine Services",16.260212,80.593747,99.0
NGO_49,Hyderabad,Telangana,"NGO working on telemedicine services, rural health outreach across rural and semi-urban communities.","Telemedicine Services, Rural Health Outreach",16.461037,78.079788,0.0
NGO_50,Nellore,Andhra Pradesh,"NGO working on rural health outreach, maternal health across rural and semi-urban communities.","Rural Health Outreach, Maternal Health",16.90585,81.596292,100.0
NGO_51,Karimnagar,Telangana,"NGO working on high-risk pregnancy support, breastfeeding & nutrition across rural and semi-urban communities.","High-Risk Pregnancy Support, Breastfeeding & Nutrition",18.009744,79.712917,100.0
NGO_52,Eluru,Andhra Pradesh,"NGO working on rural health outreach, high-risk pregnancy support across rural and semi-urban communities.","Rural Health Outreach, High-Risk Pregnancy Support",17.051824,80.888935,100.0
NGO_53,Hyderabad,Telangana,"NGO working on community midwife training, neonatal care across rural and semi-urban communities.","Community Midwife Training, Neonatal Care",15.911684,78.927909,100.0
NGO_54,Eluru,Andhra Pradesh,"NGO working on rural health outreach, breastfeeding & nutrition across rural and semi-urban communities.","Rural Health Outreach, Breastfeeding & Nutrition",16.544996,80.122048,0.0
NGO_55,Nizamabad,Telangana,"NGO working on telemedicine services, rural health outreach across rural and semi-urban communities.","Telemedicine Services, Rural Health Outreach",15.330741,78.53171,0.0
NGO_56,Kurnool,Andhra Pradesh,"NGO working on high-risk pregnancy support, immunization programs across rural and semi-urban communities.","High-Risk Pregnancy Support, Immunization Programs",17.594275,81.730591,100.0
NGO_57,Warangal,Telangana,"NGO working on community midwife training, neonatal care across rural and semi-urban communities.","Community Midwife Training, Neonatal Care",15.960774,79.15786,100.0
NGO_58,Visakhapatnam,Andhra Pradesh,"NGO working on neonatal care, maternal health across rural and semi-urban communities.","Neonatal Care, Maternal Health",16.312307,78.942963,100.0
NGO_59,Karimnagar,Telangana,"NGO working on breastfeeding & nutrition, high-risk pregnancy support across rural and semi-urban communities.","Breastfeeding & Nutrition, High-Risk Pregnancy Support",16.954423,81.808411,100.0
NGO_60,Guntur,Andhra Pradesh,"NGO working on maternal health, community midwife training across rural and semi-urban communities.","Maternal Health, Community Midwife Training",18.476584,79.91263,100.0
NGO_61,Warangal,Telangana,"NGO working on rural health outreach, community midwife training across rural and semi-urban communities.","Rural Health Outreach, Community Midwife Training",16.028965,79.677745,100.0
NGO_62,Kurnool,Andhra Pradesh,"NGO working on maternal health, neonatal care across rural and semi-urban communities.","Maternal Health, Neonatal Care",18.034884,80.459554,100.0
NGO_63,Nizamabad,Telangana,"NGO working on neonatal care, maternal health across rural and semi-urban communities.","Neonatal Care, Maternal Health",16.210613,81.240197,100.0
NGO_64,Guntur,Andhra Pradesh,"NGO working on telemedicine services, breastfeeding & nutrition across rural and semi-urban communities.","Telemedicine Services, Breastfeeding & Nutrition",17.005899,80.910693,0.0
NGO_65,Hyderabad,Telangana,"NGO working on high-risk pregnancy support, breastfeeding & nutrition across rural and semi-urban communities.","High-Risk Pregnancy Support, Breastfeeding & Nutrition",18.075509,78.477025,100.0
NGO_66,Visakhapatnam,Andhra Pradesh,"NGO working on maternal health, high-risk pregnancy support across rural and semi-urban communities.","Maternal Health, High-Risk Pregnancy Support",15.76569,78.722492,100.0
NGO_67,Warangal,Telangana,"NGO working on telemedicine services, breastfeeding & nutrition across rural and semi-urban communities.","Telemedicine Services, Breastfeeding & Nutrition",15.048415,80.340517,0.0
NGO_68,Eluru,Andhra Pradesh,"NGO working on high-risk pregnancy support, telemedicine services across rural and semi-urban communities.","High-Risk Pregnancy Support, Telemedicine Services",18.220818,79.855455,100.0
NGO_69,Warangal,Telangana,"NGO working on neonatal care, maternal health across rural and semi-urban communities.","Neonatal Care, Maternal Health",15.2056,78.018814,100.0
NGO_70,Nellore,Andhra Pradesh,"NGO working on breastfeeding & nutrition, neonatal care across rural and semi-urban communities.","Breastfeeding & Nutrition, Neonatal Care",16.135966,80.592761,100.0
NGO_71,Karimnagar,Telangana,"NGO working on breastfeeding & nutrition, neonatal care across rural and semi-urban communities.","Breastfeeding & Nutrition, Neonatal Care",17.773953,81.06354,100.0
NGO_72,Kurnool,Andhra Pradesh,"NGO working on telemedicine services, immunization programs across rural and semi-urban communities.","Telemedicine Services, Immunization Programs",17.632571,81.921392,0.0
NGO_73,Nizamabad,Telangana,"NGO working on rural health outreach, maternal health across rural and semi-urban communities.","Rural Health Outreach, Maternal Health",18.001605,78.834161,100.0
NGO_74,Eluru,Andhra Pradesh,"NGO working on neonatal care, maternal health across rural and semi-urban communities.","Neonatal Care, Maternal Health",17.972145,79.032926,100.0
NGO_75,Karimnagar,Telangana,"NGO working on immunization programs, breastfeeding & nutrition across rural and semi-urban communities.","Immunization Programs, Breastfeeding & Nutrition",17.359583,80.063444,0.0
NGO_76,Kurnool,Andhra Pradesh,"NGO working on neonatal care, high-risk pregnancy support across rural and semi-urban communities.","Neonatal Care, High-Risk Pregnancy Support",15.140799,78.268096,100.0
NGO_77,Hyderabad,Telangana,"NGO working on community midwife training, immunization programs across rural and semi-urban communities.","Community Midwife Training, Immunization Programs",15.514263,80.084515,100.0
NGO_78,Visakhapatnam,Andhra Pradesh,"NGO working on breastfeeding & nutrition, neonatal care across rural and semi-urban communities.","Breastfeeding & Nutrition, Neonatal Care",17.76722,79.919745,100.0
NGO_79,Nizamabad,Telangana,"NGO working on neonatal care, breastfeeding & nutrition across rural and semi-urban communities.","Neonatal Care, Breastfeeding & Nutrition",17.387061,81.170472,100.0
NGO_80,Kurnool,Andhra Pradesh,"NGO working on community midwife training, rural health outreach across rural and semi-urban communities.","Community Midwife Training, Rural Health Outreach",16.227239,81.910852,100.0
NGO_81,Nizamabad,Telangana,"NGO working on immunization programs, neonatal care across rural and semi-urban communities.","Immunization Programs, Neonatal Care",15.971797,81.199039,100.0
NGO_82,Eluru,Andhra Pradesh,"NGO working on neonatal care, maternal health across rural and semi-urban communities.","Neonatal Care, Maternal Health",16.662525,81.366465,100.0
NGO_83,Warangal,Telangana,"NGO working on telemedicine services, immunization programs across rural and semi-urban communities.","Telemedicine Services, Immunization Programs",16.454972,79.120478,0.0
NGO_84,Kurnool,Andhra Pradesh,"NGO working on neonatal care, breastfeeding & nutrition across rural and semi-urban communities.","Neonatal Care, Breastfeeding & Nutrition",17.579551,78.243221,100.0
NGO_85,Warangal,Telangana,"NGO working on neonatal care, telemedicine services across rural and semi-urban communities.","Neonatal Care, Telemedicine Services",18.382712,80.477504,98.0
NGO_86,Kurnool,Andhra Pradesh,"NGO working on community midwife training, high-risk pregnancy support across rural and semi-urban communities.","Community Midwife Training, High-Risk Pregnancy Support",16.998122,78.697739,100.0
NGO_87,Khammam,Telangana,"NGO working on immunization programs, telemedicine services across rural and semi-urban communities.","Immunization Programs, Telemedicine Services",16.166794,81.43128,0.0
NGO_88,Guntur,Andhra Pradesh,"NGO working on rural health outreach, maternal health across rural and semi-urban communities.","Rural Health Outreach, Maternal Health",18.153084,80.324598,100.0
NGO_89,Warangal,Telangana,"NGO working on high-risk pregnancy support, immunization programs across rural and semi-urban communities.","High-Risk Pregnancy Support, Immunization Programs",15.35448,79.505823,100.0
NGO_90,Kurnool,Andhra Pradesh,"NGO working on community midwife training, neonatal care across rural and semi-urban communities.","Community Midwife Training, Neonatal Care",17.419491,78.697709,100.0
NGO_91,Warangal,Telangana,"NGO working on telemedicine services, neonatal care across rural and semi-urban communities.","Telemedicine Services, Neonatal Care",16.307259,81.889197,100.0
NGO_92,Visakhapatnam,Andhra Pradesh,"NGO working on community midwife training, immunization programs across rural and semi-urban communities.","Community Midwife Training, Immunization Programs",17.474135,78.96336,100.0
NGO_93,Karimnagar,Telangana,"NGO working on telemedicine services, community midwife training across rural and semi-urban communities.","Telemedicine Services, Community Midwife Training",16.242788,78.783114,100.0
NGO_94,Guntur,Andhra Pradesh,"NGO working on immunization programs, telemedicine services across rural and semi-urban communities.","Immunization Programs, Telemedicine Services",16.57845,81.287431,0.0
NGO_95,Warangal,Telangana,"NGO working on high-risk pregnancy support, immunization programs across rural and semi-urban communities.","High-Risk Pregnancy Support, Immunization Programs",17.854853,79.238291,100.0
NGO_96,Visakhapatnam,Andhra Pradesh,"NGO working on telemedicine services, immunization programs across rural and semi-urban communities.","Telemedicine Services, Immunization Programs",17.524662,78.729758,0.0
NGO_97,Khammam,Telangana,"NGO working on rural health outreach, immunization programs across rural and semi-urban communities.","Rural Health Outreach, Immunization Programs",15.722552,80.088685,0.0
NGO_98,Guntur,Andhra Pradesh,"NGO working on immunization programs, breastfeeding & nutrition across rural and semi-urban communities.","Immunization Programs, Breastfeeding & Nutrition",18.244062,79.115992,0.0
NGO_99,Khammam,Telangana,"NGO working on maternal health, immunization programs across rural and semi-urban communities.","Maternal Health, Immunization Programs",17.013582,79.528264,100.0
NGO_100,Nellore,Andhra Pradesh,"NGO working on community midwife training, telemedicine services across rural and semi-urban communities.","Community Midwife Training, Telemedicine Services",18.389057,81.322052,100.0
NGO_101,Karimnagar,Telangana,"NGO working on immunization programs, community midwife training across rural and semi-urban communities.","Immunization Programs, Community Midwife Training",18.028021,79.421688,100.0
NGO_102,Visakhapatnam,Andhra Pradesh,"NGO working on neonatal care, immunization programs across rural and semi-urban communities.","Neonatal Care, Immunization Programs",17.87798,79.15409,100.0
NGO_103,Nizamabad,Telangana,"NGO working on immunization programs, maternal health across rural and semi-urban communities.","Immunization Programs, Maternal Health",17.108689,80.356572,100.0
NGO_104,Kurnool,Andhra Pradesh,"NGO working on maternal health, high-risk pregnancy support across rural and semi-urban communities.","Maternal Health, High-Risk Pregnancy Support",15.654199,79.120095,100.0
NGO_105,Warangal,Telangana,"NGO working on rural health outreach, high-risk pregnancy support across rural and semi-urban communities.","Rural Health Outreach, High-Risk Pregnancy Support",16.78819,78.704657,100.0
NGO_106,Eluru,Andhra Pradesh,"NGO working on community midwife training, breastfeeding & nutrition across rural and semi-urban communities.","Community Midwife Training, Breastfeeding & Nutrition",15.209787,79.034253,98.0
NGO_107,Khammam,Telangana,"NGO working on neonatal care, high-risk pregnancy support across rural and semi-urban communities.","Neonatal Care, High-Risk Pregnancy Support",17.216029,81.210639,100.0
NGO_108,Eluru,Andhra Pradesh,"NGO working on maternal health, breastfeeding & nutrition across rural and semi-urban communities.","Maternal Health, Breastfeeding & Nutrition",15.453312,79.899284,100.0
NGO_109,Warangal,Telangana,"NGO working on breastfeeding & nutrition, telemedicine services across rural and semi-urban communities.","Breastfeeding & Nutrition, Telemedicine Services",17.86755,81.762007,0.0
NGO_110,Nellore,Andhra Pradesh,"NGO working on maternal health, rural health outreach across rural and semi-urban communities.","Maternal Health, Rural Health Outreach",15.308299,80.434845,100.0
NGO_111,Khammam,Telangana,"NGO working on community midwife training, high-risk pregnancy support across rural and semi-urban communities.","Community Midwife Training, High-Risk Pregnancy Support",15.025062,81.985247,100.0
NGO_112,Eluru,Andhra Pradesh,"NGO working on maternal health, community midwife training across rural and semi-urban communities.","Maternal Health, Community Midwife Training",16.545481,80.858763,100.0
NGO_113,Warangal,Telangana,"NGO working on high-risk pregnancy support, breastfeeding & nutrition across rural and semi-urban communities.","High-Risk Pregnancy Support, Breastfeeding & Nutrition",17.028064,81.639846,100.0
NGO_114,Visakhapatnam,Andhra Pradesh,"NGO working on community midwife training, maternal health across rural and semi-urban communities.","Community Midwife Training, Maternal Health",18.063505,81.160138,100.0
NGO_115,Karimnagar,Telangana,"NGO working on telemedicine services, breastfeeding & nutrition across rural and semi-urban communities.","Telemedicine Services, Breastfeeding & Nutrition",17.960933,79.369023,0.0
NGO_116,Nellore,Andhra Pradesh,"NGO working on immunization programs, maternal health across rural and semi-urban communities.","Immunization Programs, Maternal Health",18.056249,79.367956,100.0
NGO_117,Hyderabad,Telangana,"NGO working on neonatal care, maternal health across rural and semi-urban communities.","Neonatal Care, Maternal Health",17.146966,80.203782,100.0
NGO_118,Guntur,Andhra Pradesh,"NGO working on neonatal care, maternal health across rural and semi-urban communities.","Neonatal Care, Maternal Health",15.852599,79.853829,100.0
NGO_119,Khammam,Telangana,"NGO working on high-risk pregnancy support, telemedicine services across rural and semi-urban communities.","High-Risk Pregnancy Support, Telemedicine Services",16.101423,78.177445,100.0
NGO_120,Eluru,Andhra Pradesh,"NGO working on telemedicine services, breastfeeding & nutrition across rural and semi-urban communities.","Telemedicine Services, Breastfeeding & Nutrition",15.309378,78.354658,0.0
NGO_121,Warangal,Telangana,"NGO working on immunization programs, neonatal care across rural and semi-urban communities.","Immunization Programs, Neonatal Care",18.072994,78.729789,100.0
NGO_122,Visakhapatnam,Andhra Pradesh,"NGO working on community midwife training, immunization programs across rural and semi-urban communities.","Community Midwife Training, Immunization Programs",16.765661,79.568678,100.0
NGO_123,Khammam,Telangana,"NGO working on immunization programs, high-risk pregnancy support across rural and semi-urban communities.","Immunization Programs, High-Risk Pregnancy Support",17.482441,78.815627,100.0
NGO_124,Eluru,Andhra Pradesh,"NGO working on neonatal care, breastfeeding & nutrition across rural and semi-urban communities.","Neonatal Care, Breastfeeding & Nutrition",15.579231,81.176502,100.0
NGO_125,Hyderabad,Telangana,"NGO working on maternal health, telemedicine services across rural and semi-urban communities.","Maternal Health, Telemedicine Services",16.080658,79.874198,99.0
NGO_126,Eluru,Andhra Pradesh,"NGO working on community midwife training, immunization programs across rural and semi-urban communities.","Community Midwife Training, Immunization Programs",15.289772,79.874523,100.0
NGO_127,Khammam,Telangana,"NGO working on telemedicine services, community midwife training across rural and semi-urban communities.","Telemedicine Services, Community Midwife Training",17.99972,80.855731,100.0
NGO_128,Kurnool,Andhra Pradesh,"NGO working on breastfeeding & nutrition, community midwife training across rural and semi-urban communities.","Breastfeeding & Nutrition, Community Midwife Training",15.942375,81.663889,100.0
NGO_129,Hyderabad,Telangana,"NGO working on rural health outreach, breastfeeding & nutrition across rural and semi-urban communities.","Rural Health Outreach, Breastfeeding & Nutrition",15.603631,79.376419,0.0
NGO_130,Eluru,Andhra Pradesh,"NGO working on rural health outreach, neonatal care across rural and semi-urban communities.","Rural Health Outreach, Neonatal Care",15.790408,78.773182,100.0
NGO_131,Warangal,Telangana,"NGO working on high-risk pregnancy support, breastfeeding & nutrition across rural and semi-urban communities.","High-Risk Pregnancy Support, Breastfeeding & Nutrition",16.991761,81.848987,100.0
NGO_132,Kurnool,Andhra Pradesh,"NGO working on telemedicine services, breastfeeding & nutrition across rural and semi-urban communities.","Telemedicine Services, Breastfeeding & Nutrition",18.288067,80.720999,0.0
NGO_133,Khammam,Telangana,"NGO working on immunization programs, high-risk pregnancy support across rural and semi-urban communities.","Immunization Programs, High-Risk Pregnancy Support",17.554997,78.550437,100.0
NGO_134,Kurnool,Andhra Pradesh,"NGO working on breastfeeding & nutrition, community midwife training across rural and semi-urban communities.","Breastfeeding & Nutrition, Community Midwife Training",15.376307,81.032321,100.0
NGO_135,Khammam,Telangana,"NGO working on high-risk pregnancy support, rural health outreach across rural and semi-urban communities.","High-Risk Pregnancy Support, Rural Health Outreach",15.075022,81.693494,100.0
NGO_136,Kurnool,Andhra Pradesh,"NGO working on maternal health, community midwife training across rural and semi-urban communities.","Maternal Health, Community Midwife Training",17.821595,81.198941,100.0
NGO_137,Hyderabad,Telangana,"NGO working on community midwife training, breastfeeding & nutrition across rural and semi-urban communities.","Community Midwife Training, Breastfeeding & Nutrition",17.725054,79.859209,98.0
NGO_138,Eluru,Andhra Pradesh,"NGO working on maternal health, high-risk pregnancy support across rural and semi-urban communities.","Maternal Health, High-Risk Pregnancy Support",18.014876,78.825685,100.0
NGO_139,Khammam,Telangana,"NGO working on high-risk pregnancy support, breastfeeding & nutrition across rural and semi-urban communities.","High-Risk Pregnancy Support, Breastfeeding & Nutrition",15.864846,81.909456,100.0
NGO_140,Visakhapatnam,Andhra Pradesh,"NGO working on telemedicine services, community midwife training across rural and semi-urban communities.","Telemedicine Services, Community Midwife Training",17.67497,79.134061,100.0
NGO_141,Warangal,Telangana,"NGO working on high-risk pregnancy support, breastfeeding & nutrition across rural and semi-urban communities.","High-Risk Pregnancy Support, Breastfeeding & Nutrition",17.860156,78.113434,100.0
NGO_142,Visakhapatnam,Andhra Pradesh,"NGO working on immunization programs, rural health outreach across rural and semi-urban communities.","Immunization Programs, Rural Health Outreach",17.620558,78.792865,0.0
NGO_143,Hyderabad,Telangana,"NGO working on immunization programs, community midwife training across rural and semi-urban communities.","Immunization Programs, Community Midwife Training",17.95057,78.928647,100.0
NGO_144,Guntur,Andhra Pradesh,"NGO working on high-risk pregnancy support, breastfeeding & nutrition across rural and semi-urban communities.","High-Risk Pregnancy Support, Breastfeeding & Nutrition",18.382913,81.571893,100.0
NGO_145,Khammam,Telangana,"NGO working on breastfeeding & nutrition, maternal health across rural and semi-urban communities.","Breastfeeding & Nutrition, Maternal Health",17.561324,81.511279,93.0
NGO_146,Visakhapatnam,Andhra Pradesh,"NGO working on neonatal care, high-risk pregnancy support across rural and semi-urban communities.","Neonatal Care, High-Risk Pregnancy Support",18.47088,80.930229,100.0
NGO_147,Khammam,Telangana,"NGO working on community midwife training, high-risk pregnancy support across rural and semi-urban communities.","Community Midwife Training, High-Risk Pregnancy Support",15.84786,80.052573,100.0
NGO_148,Eluru,Andhra Pradesh,"NGO working on maternal health, telemedicine services across rural and semi-urban communities.","Maternal Health, Telemedicine Services",16.595117,78.905037,99.0
NGO_149,Hyderabad,Telangana,"NGO working on immunization programs, high-risk pregnancy support across rural and semi-urban communities.","Immunization Programs, High-Risk Pregnancy Support",16.042029,81.684141,100.0
NGO_150,Guntur,Andhra Pradesh,"NGO working on high-risk pregnancy support, telemedicine services across rural and semi-urban communities.","High-Risk Pregnancy Support, Telemedicine Services",17.944957,78.73917,100.0
NGO_151,Khammam,Telangana,"NGO working on immunization programs, high-risk pregnancy support across rural and semi-urban communities.","Immunization Programs, High-Risk Pregnancy Support",15.444683,81.53686,100.0
NGO_152,Guntur,Andhra Pradesh,"NGO working on telemedicine services, rural health outreach across rural and semi-urban communities.","Telemedicine Services, Rural Health Outreach",16.304906,79.807811,0.0
NGO_153,Karimnagar,Telangana,"NGO working on high-risk pregnancy support, breastfeeding & nutrition across rural and semi-urban communities.","High-Risk Pregnancy Support, Breastfeeding & Nutrition",18.246438,80.995668,100.0
NGO_154,Kurnool,Andhra Pradesh,"NGO working on community midwife training, maternal health across rural and semi-urban communities.","Community Midwife Training, Maternal Health",16.554222,80.742137,100.0
NGO_155,Hyderabad,Telangana,"NGO working on rural health outreach, maternal health across rural and semi-urban communities.","Rural Health Outreach, Maternal Health",17.530097,80.947563,100.0
NGO_156,Nellore,Andhra Pradesh,"NGO working on community midwife training, maternal health across rural and semi-urban communities.","Community Midwife Training, Maternal Health",17.60532,78.884668,100.0
NGO_157,Warangal,Telangana,"NGO working on breastfeeding & nutrition, high-risk pregnancy support across rural and semi-urban communities.","Breastfeeding & Nutrition, High-Risk Pregnancy Support",16.821717,81.316817,100.0
NGO_158,Guntur,Andhra Pradesh,"NGO working on telemedicine services, high-risk pregnancy support across rural and semi-urban communities.","Telemedicine Services, High-Risk Pregnancy Support",17.961695,79.971035,99.0
NGO_159,Hyderabad,Telangana,"NGO working on immunization programs, rural health outreach across rural and semi-urban communities.","Immunization Programs, Rural Health Outreach",17.518552,81.535311,0.0
NGO_160,Guntur,Andhra Pradesh,"NGO working on telemedicine services, maternal health across rural and semi-urban communities.","Telemedicine Services, Maternal Health",16.950355,79.608494,100.0
